Meal Name,Calories,Fat,Protein,Carbohydrates,Ingredients
Pesto Pizza Bagel,183.2,15.77,7.81,2.46,"bagel, cheese, pesto sauce"
Leo's Sweetie Baloy,562.6800000000001,35.45,17.580000000000002,47.91,"guava paste, brie, apple slices, croissant, almonds"
Nachos,254.56,16.0,8.98,19.71,"tortilla chips, melted cheese"
Dorito Nachos,254.56,16.0,8.98,19.71,"doritos, melted cheese"
Supermachos,163.89,9.04,2.25,19.98,"tortilla chips, bean dip, jalapenos, black olives"
Supermachos (Doritos),286.29,19.240000000000002,9.24,20.71,"doritos, melted cheese, bean dip, jalapenos, black olives"
Chips + Salsa,141.44,5.859999999999999,2.45,21.14,"tortilla chips, salsa"
Pizza Bagel,118.25,1.04,3.7300000000000004,25.64,"bagel, pizza sauce, browned cheese"
Srirachow Down,118.98999999999998,1.05,3.75,25.8,"bagel, pizza sauce, sriracha, jalapenos, browned cheese"
Quesadilla,214.2,12.6,9.45,15.55,"melted cheese, flour tortilla"
Burrito,225.48000000000002,12.83,9.940000000000001,17.78,"bean dip, cheese, salsa, flour tortilla"
Karla's Burrodilla,349.97,18.72,11.489999999999998,34.690000000000005,"melted cheese, flour tortilla, bean dip, sriracha, crushed tortilla chips, guacamole"
Nutella Croissant,430.85,22.96,6.67,49.2,"croissant, nutella"
Dessert Sandwich (Nutella),658.3299999999999,38.04,13.21,70.08,"croissant, nutella, sliced apples, crushed almonds, honey"
Dessert Sandwich (Melted Brie),559.0999999999999,35.36,17.45,47.129999999999995,"croissant, brie, sliced apples, crushed almonds, honey"
Hoopla (Croissant),274.85999999999996,12.5,4.98,36.88,"croissant, cookie butter, sliced apples, cinnamon"
Hoopla (Bagel),46.19,0.55,0.41000000000000003,11.3,"bagel, cookie butter, sliced apples, cinnamon"
Oreos + PB,243.63,18.51,7.79,15.190000000000001,"oreos, peanut butter"
Apples + PB,247.72,16.540000000000003,7.48,22.18,"apple slices, peanut butter"
Nutellatilla,291.23,13.39,4.46,37.91,"nutella, flour tortilla"
Babygirl,482.27000000000004,29.740000000000002,11.66,45.05,"nutella, peanut butter, flour tortilla"
C-Wolf,335.43,20.91,10.25,30.01,"oreos, peanut butter, flour tortilla"
C^2,343.82,15.55,5.05,45.96,"oreos, nutella, flour tortilla"
C^3,534.86,31.9,12.25,53.1,"oreos, peanut butter, nutella, flour tortilla"
